"Variable","Coeff.","Std. Err.","t-value","P>|t|"
"property_type",0.24717795820053481,0.006657618425594513,37.12708395096438,0
"bathrooms",7.6420518544001865,0.6761929114726489,11.301585279498005,0
"accomodate",14.780303086294442,0.3248293372850147,45.50174934884584,0
"bedrooms",14.499206344785108,0.6340893319727126,22.866188742959434,0
"beds",-2.279549370623002,0.3419694662224433,-6.665944172747304,0.000000000026684876530680413
"neighbourhood",0.07270568969155518,0.0038389408930731557,18.938996904782424,0
"Shared room",-30.189750125252278,3.891197391019357,-7.758473058942822,0.000000000000008881784197001252
"Hotel room",63.951072390863985,6.684667873251533,9.56682868968883,0
"France",6.230749632522835,1.3385029363461085,4.655013794390134,0.000003251396357484282
"Argentine",-131.5520861322637,1.4556900132234918,-90.3709477548408,0
"USA",-33.20391153477009,1.352744897799096,-24.545582532813516,0
"Australie",-57.39069629726383,1.6422654818183715,-34.94605283533021,0
"Espagne",-56.40238011209259,2.5536938792041775,-22.08658624724025,0
"Bresil",-114.28010206345547,1.4642484449760675,-78.0469342177265,0
"Thaïlande",-126.0789409703641,1.7504307558456174,-72.02737986025417,0
"Japon",-75.61855511955403,2.3765273536783527,-31.81892899423724,0
"Intercept",57.4367854424622,1.6079961723445086,35.71947895791168,0
