"Variable","Exponent","Coeff.","Std. Err.","t-value","P>|t|"
"property_type",1,0.4572183176805197,0.013792243676902786,33.150394409446335,0
"bathrooms",1,23.33019744095861,1.323107822447314,17.63287696221569,0
"accomodate",1,26.434357779324408,0.6233087965899676,42.40973001495079,0
"bedrooms",1,19.845431658722028,0.8489159391455687,23.3773813679319,0
"beds",1,-2.143194894997161,0.47226166281192133,-4.538151333809814,0.0000056937204209184245
"neighbourhood",1,0.14245695441542167,0.005587308783541008,25.496524343717812,0
"Shared room",1,-2.9416801247360995,3.8597541067072463,-0.7621418472291347,0.44598046048874673
"Hotel room",1,77.04617358913845,6.535887370783119,11.788173390739889,0
"France",1,3.3531975400459064,1.3079459326550018,2.563712655338317,0.010360041687755839
"Argentine",1,-128.14897466885304,1.455918088000755,-88.01935749340494,0
"USA",1,-33.127820227349,1.3136652669556679,-25.217855005119016,0
"Australie",1,-56.783609488166974,1.593393486625016,-35.63690322874418,0
"Espagne",1,-58.772385935406234,2.4779090154549643,-23.71854074093804,0
"Bresil",1,-111.39992576903772,1.4868355522149161,-74.92417409785969,0
"Thaïlande",1,-121.17921832551313,1.7126279731272918,-70.75629980762112,0
"Japon",1,-68.51888212414804,2.3180328305952513,-29.559064573970232,0
"property_type",2,-0.0004251254790670744,0.000021621239447146086,-19.66240095098661,0
"bathrooms",2,-2.16401966726751,0.18334990464474163,-11.802676807825504,0
"accomodate",2,-1.2839265785553529,0.04749494333054386,-27.032911053705025,0
"bedrooms",2,-0.815037906469404,0.0652170865269006,-12.497306302286578,0
"beds",2,0.040942704818764046,0.01812103450864782,2.259402177023897,0.02386447315986473
"neighbourhood",2,-0.00002511828886160939,0.0000013841725058938458,-18.146790775466933,0
"Shared room",2,0,,,
"Hotel room",2,0,,,
"France",2,0,,,
"Argentine",2,0,,,
"USA",2,0,,,
"Australie",2,0,,,
"Espagne",2,0,,,
"Bresil",2,0,,,
"Thaïlande",2,0,,,
"Japon",2,0,,,
"Intercept",0,-16.967773995534635,2.318382925104694,-7.318796999321586,0.00000000000025557334026871104
