Variable,Coefficient
Intercept,178.41133522647874
review_scores_rating,1.2062004610224324
review_scores_accuracy,-0.4227423381460377
review_scores_cleanliness,2.728907595695448
review_scores_checkin,-0.5567356664597197
review_scores_communication,-0.36552353406370863
review_scores_location,4.658511845323152
bathrooms,4.240829032860038
accomodate,34.26452230103872
bedrooms,12.485046051798472
beds,-4.278013775039445
Shared room,-52.550272300578065
Hotel room,73.89611577299002
France,6.263740643390023
Argentine,-128.2030172761015
USA,-26.371442036453363
Australie,-49.17634840155746
Espagne,-53.9058958809402
Bresil,-116.2119294248366
Thaïlande,-117.18604214853389
Japon,-65.41555059624798
